champion,tier,avg_placement,win_rate,frequency,frequency_percent,popular_items
Baron Nashor,S,2.76,29.9%,"219,817",3.4%,"Bloodthirster, Sterak's Gage, Infinity Edge, Hand Of Justice, Titan's Resolve"
Renekton,S,3.16,24.1%,"217,854",3.3%,"Bloodthirster, Sterak's Gage, Titan's Resolve, Hand Of Justice, Thief's Gloves"
Volibear,S,3.40,20.3%,"671,429",10.3%,"Bloodthirster, Sterak's Gage, Thief's Gloves, Titan's Resolve, Hand Of Justice"
Ryze,S,3.42,19.7%,"308,227",4.7%,"Spear of Shojin, Jeweled Gauntlet, Void Staff, Blue Buff, Adaptive Helm"
Ziggs,S,3.46,19.9%,"177,999",2.7%,"Guinsoo's Rageblade, Rabadon's Deathcap, Spear of Shojin, Jeweled Gauntlet, Void Staff"
Zaahen,S,3.57,13.1%,"48,909",0.7%,"Bloodthirster, Titan's Resolve, Sterak's Gage, Hand Of Justice, Infinity Edge"
Lucian & Senna,S,3.58,22.7%,"1,687,274",25.8%,"Infinity Edge, Spear of Shojin, Guinsoo's Rageblade, Last Whisper, Red Buff"
Sylas,S,3.72,17.0%,"183,574",2.8%,"Jeweled Gauntlet, Hand Of Justice, Bloodthirster, Hextech Gunblade, Titan's Resolve"
Fiddlesticks,S,3.75,19.1%,"1,327,593",20.3%,"Thief's Gloves, Jeweled Gauntlet, Hand Of Justice, Morellonomicon, Rabadon's Deathcap"
Kindred,S,3.77,17.2%,"1,463,879",22.4%,"Guinsoo's Rageblade, Kraken's Fury, Infinity Edge, Giant Slayer, Last Whisper"
Aatrox,S,3.77,14.3%,"176,938",2.7%,"Bloodthirster, Hand Of Justice, Titan's Resolve, Sterak's Gage, Guinsoo's Rageblade"
Xerath,S,3.82,16.5%,"132,969",2.0%,"Spear of Shojin, Jeweled Gauntlet, Archangel's Staff, Blue Buff, Adaptive Helm"
Brock,S,3.83,24.1%,"133,813",2.0%,"Bloodthirster, Sterak's Gage, Hand Of Justice, Infinity Edge, Titan's Resolve"
Shyvana,S,3.83,18.4%,"1,427,702",21.9%,"Bloodthirster, Thief's Gloves, Sterak's Gage, Titan's Resolve, Hand Of Justice"
Galio,S,3.87,10.9%,"384,755",5.9%,"Thief's Gloves, Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor, Spirit Visage"
Sett,S,3.91,15.7%,"740,951",11.4%,"Hand Of Justice, Jeweled Gauntlet, Bloodthirster, Titan's Resolve, Thief's Gloves"
T-Hex,S,3.99,22.1%,"849,725",13.0%,"Infinity Edge, Striker's Flail, Deathblade, Hand Of Justice, Giant Slayer"
Ornn,S,4.05,18.4%,"1,279,042",19.6%,"Gargoyle Stoneplate, Warmog's Armor, Thief's Gloves, Sunfire Cape, Spirit Visage"
Zilean,S,4.06,17.1%,"424,203",6.5%,"Spear of Shojin, Jeweled Gauntlet, Blue Buff, Void Staff, Adaptive Helm"
Tryndamere,S,4.10,11.3%,"422,604",6.5%,"Guinsoo's Rageblade, Bloodthirster, Quicksilver, Titan's Resolve, Hand Of Justice"
Tahm Kench,S,4.12,17.6%,"425,898",6.5%,"Pile O' Citrus, Protector's Vow, Bloodthirster, Warmog's Armor, Gargoyle Stoneplate"
Yone,S,4.13,13.2%,"159,187",2.4%,"Bloodthirster, Guinsoo's Rageblade, Titan's Resolve, Hand Of Justice, Quicksilver"
Veigar,S,4.14,15.3%,"155,496",2.4%,"Rabadon's Deathcap, Spear of Shojin, Blue Buff, Jeweled Gauntlet, Void Staff"
Azir,S,4.16,14.8%,"867,564",13.3%,"Guinsoo's Rageblade, Jeweled Gauntlet, Giant Slayer, Void Staff, Archangel's Staff"
Kobuko & Yuumi,A,4.23,13.2%,"925,749",14.2%,"Thief's Gloves, Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage"
Ashe,A,4.24,12.1%,"820,656",12.6%,"Guinsoo's Rageblade, Kraken's Fury, Giant Slayer, Infinity Edge, Last Whisper"
Mel,A,4.24,11.1%,"175,542",2.7%,"Adaptive Helm, Jeweled Gauntlet, Spear of Shojin, Blue Buff, Archangel's Staff"
Kai'Sa,A,4.26,13.6%,"642,562",9.8%,"Guinsoo's Rageblade, Jeweled Gauntlet, Hextech Gunblade, Void Staff, Giant Slayer"
Yunara,A,4.26,13.4%,"1,151,808",17.6%,"Guinsoo's Rageblade, Infinity Edge, Kraken's Fury, Giant Slayer, Deathblade"
Swain,A,4.28,12.5%,"2,133,469",32.7%,"Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor, Spirit Visage, Protector's Vow"
Taric,A,4.31,14.4%,"1,851,459",28.4%,"Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage, Thief's Gloves"
Wukong,A,4.31,13.0%,"1,633,666",25.0%,"Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor, Spirit Visage, Evenshroud"
Draven,A,4.34,12.4%,"1,006,697",15.4%,"Guinsoo's Rageblade, Kraken's Fury, Infinity Edge, Giant Slayer, Deathblade"
Annie,A,4.37,11.4%,"461,075",7.1%,"Spear of Shojin, Adaptive Helm, Void Staff, Blue Buff, Jeweled Gauntlet"
Braum,A,4.38,15.1%,"1,119,693",17.2%,"Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Sunfire Cape, Bramble Vest"
Sejuani,A,4.38,11.4%,"978,311",15.0%,"Sunfire Cape, Spirit Visage, Warmog's Armor, Gargoyle Stoneplate, Protector's Vow"
Thresh,A,4.39,7.2%,"159,078",2.4%,"Bloodthirster, Morellonomicon, Hand Of Justice, Jeweled Gauntlet, Ionic Spark"
Lux,A,4.40,9.0%,"500,788",7.7%,"Jeweled Gauntlet, Spear of Shojin, Blue Buff, Rabadon's Deathcap, Archangel's Staff"
Tibbers,B,4.41,11.4%,"402,345",6.2%,"Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Sunfire Cape, Bramble Vest"
Seraphine,B,4.41,14.7%,"1,205,167",18.5%,"Spear of Shojin, Jeweled Gauntlet, Void Staff, Morellonomicon, Blue Buff"
Jhin,B,4.43,14.2%,"389,500",6.0%,"Guinsoo's Rageblade, Infinity Edge, Kraken's Fury, Giant Slayer, Deathblade"
Caitlyn,B,4.43,18.4%,"850,161",13.0%,"Infinity Edge, Guinsoo's Rageblade, Deathblade, Spear of Shojin, Striker's Flail"
Vayne,B,4.44,8.3%,"418,400",6.4%,"Guinsoo's Rageblade, Kraken's Fury, Infinity Edge, Giant Slayer, Deathblade"
Ambessa,B,4.45,12.3%,"727,269",11.1%,"Bloodthirster, Hand Of Justice, Titan's Resolve, Sterak's Gage, Thief's Gloves"
Garen,B,4.47,9.4%,"691,579",10.6%,"Gargoyle Stoneplate, Spirit Visage, Warmog's Armor, Sunfire Cape, Bramble Vest"
Kennen,B,4.47,12.5%,"1,070,285",16.4%,"Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor, Spirit Visage, Dragon's Claw"
Lissandra,B,4.48,11.9%,"703,903",10.8%,"Jeweled Gauntlet, Spear of Shojin, Blue Buff, Archangel's Staff, Adaptive Helm"
Shen,B,4.48,11.8%,"912,228",14.0%,"Sunfire Cape, Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Thief's Gloves"
Jarvan IV,B,4.49,12.2%,"782,019",12.0%,"Gargoyle Stoneplate, Protector's Vow, Evenshroud, Crownguard, Sunfire Cape"
Bel'Veth,B,4.50,13.2%,"546,647",8.4%,"Bloodthirster, Guinsoo's Rageblade, Hand Of Justice, Titan's Resolve, Quicksilver"
Loris,B,4.51,15.8%,"1,104,913",16.9%,"Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage, Evenshroud"
Briar,B,4.52,9.5%,"654,746",10.0%,"Thief's Gloves, Bloodthirster, Hand Of Justice, Titan's Resolve, Sterak's Gage"
Poppy,B,4.53,10.0%,"781,181",12.0%,"Gargoyle Stoneplate, Thief's Gloves, Warmog's Armor, Sunfire Cape, Spirit Visage"
Malzahar,B,4.55,14.7%,"356,317",5.5%,"Jeweled Gauntlet, Blue Buff, Spear of Shojin, Void Staff, Archangel's Staff"
Skarner,B,4.56,14.4%,"716,206",11.0%,"Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Sunfire Cape, Evenshroud"
Diana,B,4.57,9.5%,"399,332",6.1%,"Bloodthirster, Guinsoo's Rageblade, Titan's Resolve, Hand Of Justice, Jeweled Gauntlet"
Kog'Maw,B,4.58,13.9%,"491,894",7.5%,"Guinsoo's Rageblade, Jeweled Gauntlet, Void Staff, Spear of Shojin, Blue Buff"
Orianna,B,4.58,16.5%,"686,964",10.5%,"Jeweled Gauntlet, Spear of Shojin, Guinsoo's Rageblade, Void Staff, Rabadon's Deathcap"
Rift Herald,B,4.58,13.8%,"493,064",7.6%,"Gargoyle Stoneplate, Sunfire Cape, Spirit Visage, Warmog's Armor, Bramble Vest"
Miss Fortune,C,4.62,13.8%,"572,690",8.8%,"Infinity Edge, Spear of Shojin, First Mate's Flintlock, Lucky Doubloon, Dead Man's Dagger"
Rek'Sai,C,4.64,13.9%,"409,502",6.3%,"Bloodthirster, Hand Of Justice, Thief's Gloves, Infinity Edge, Sterak's Gage"
Teemo,C,4.65,11.2%,"336,023",5.1%,"Rabadon's Deathcap, Spear of Shojin, Jeweled Gauntlet, Void Staff, Blue Buff"
Vi,C,4.66,13.5%,"1,371,523",21.0%,"Thief's Gloves, Bloodthirster, Titan's Resolve, Gargoyle Stoneplate, Sterak's Gage"
Aphelios,C,4.66,8.9%,"303,375",4.6%,"Guinsoo's Rageblade, Kraken's Fury, Infinity Edge, Giant Slayer, Deathblade"
Kalista,C,4.68,6.4%,"165,304",2.5%,"Spear of Shojin, Infinity Edge, Last Whisper, Guinsoo's Rageblade, Striker's Flail"
Cho'Gath,C,4.68,12.9%,"497,454",7.6%,"Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor, Spirit Visage, Thief's Gloves"
Fizz,C,4.69,12.6%,"544,832",8.3%,"Jeweled Gauntlet, Hand Of Justice, Rabadon's Deathcap, Bloodthirster, Guinsoo's Rageblade"
Nasus,C,4.69,9.4%,"183,928",2.8%,"Spirit Visage, Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Bramble Vest"
Lulu,C,4.71,11.1%,"324,494",5.0%,"Rabadon's Deathcap, Spear of Shojin, Jeweled Gauntlet, Blue Buff, Void Staff"
Gwen,C,4.76,6.2%,"159,488",2.4%,"Jeweled Gauntlet, Hand Of Justice, Bloodthirster, Thief's Gloves, Titan's Resolve"
Rumble,C,4.76,10.2%,"400,493",6.1%,"Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Guinsoo's Rageblade, Spirit Visage"
Yorick,C,4.78,6.2%,"168,576",2.6%,"Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Sunfire Cape, Bramble Vest"
Aurelion Sol,C,4.79,9.6%,"140,499",2.2%,"Spear of Shojin, Guinsoo's Rageblade, Blue Buff, Jeweled Gauntlet, Adaptive Helm"
Tristana,C,4.79,10.7%,"275,571",4.2%,"Infinity Edge, Guinsoo's Rageblade, Spear of Shojin, Giant Slayer, Kraken's Fury"
Xin Zhao,C,4.79,8.8%,"731,648",11.2%,"Bloodthirster, Thief's Gloves, Gargoyle Stoneplate, Titan's Resolve, Warmog's Armor"
Nautilus,C,4.80,11.8%,"831,301",12.7%,"Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor, Spirit Visage, Evenshroud"
Warwick,D,4.81,3.4%,"93,487",1.4%,"Bloodthirster, Titan's Resolve, Sterak's Gage, Hand Of Justice, Guinsoo's Rageblade"
Neeko,D,4.83,9.4%,"1,061,167",16.3%,"Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage, Protector's Vow"
Darius,D,4.84,8.9%,"190,588",2.9%,"Thief's Gloves, Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage"
Viego,D,4.86,6.0%,"166,629",2.6%,"Bloodthirster, Titan's Resolve, Edge of Night, Hand Of Justice, Guinsoo's Rageblade"
Sion,D,4.88,7.7%,"476,018",7.3%,"Sunfire Cape, Warmog's Armor, Spirit Visage, Gargoyle Stoneplate, Bramble Vest"
Yasuo,D,4.88,9.7%,"303,543",4.6%,"Hand Of Justice, Bloodthirster, Infinity Edge, Edge of Night, Titan's Resolve"
Anivia,D,4.89,7.6%,"212,963",3.3%,"Jeweled Gauntlet, Spear of Shojin, Blue Buff, Archangel's Staff, Rabadon's Deathcap"
Ahri,D,4.90,10.1%,"307,543",4.7%,"Jeweled Gauntlet, Blue Buff, Spear of Shojin, Archangel's Staff, Rabadon's Deathcap"
Twisted Fate,D,4.92,11.4%,"358,620",5.5%,"Guinsoo's Rageblade, Captain's Brew, Lucky Doubloon, Jeweled Gauntlet, Red Buff"
Sona,D,4.93,6.9%,"221,131",3.4%,"Jeweled Gauntlet, Nashor's Tooth, Spear of Shojin, Archangel's Staff, Blue Buff"
Illaoi,D,4.97,10.2%,"490,442",7.5%,"Gargoyle Stoneplate, Warmog's Armor, Thief's Gloves, Sunfire Cape, Spirit Visage"
Dr. Mundo,D,4.99,5.7%,"308,481",4.7%,"Warmog's Armor, Spirit Visage, Gargoyle Stoneplate, Sunfire Cape, Bramble Vest"
Gangplank,D,4.99,9.8%,"447,893",6.9%,"Hand Of Justice, Bloodthirster, Sterak's Gage, Lucky Doubloon, Quicksilver"
Singed,D,5.00,3.3%,"121,553",1.9%,"Morellonomicon, Bloodthirster, Hand Of Justice, Jeweled Gauntlet, Archangel's Staff"
